Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2010,Zona urbana,13/04/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,1,1,0,0,0,0,0,0,0,100,Si,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,12.5,Matí,Atropellament,dill-dij
2010,Zona urbana,23/09/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,1,2,2,0,0,0,1,1,0,0,0,NA,Sense Especificar,No n'hi ha,Desmunt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,Sense especificar,En secció,Genérica via,"De nit, il·luminació artificial suficient",NA,Doble sentit,Fregament o col·lisió lateral,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,Sense especificar,"Calma, vent molt suau",Feiners,3.15,Nit,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,08/02/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,1,0,0,0,1,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia fosc",NA,Un sol sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,10.25,Matí,Atropellament,dill-dij
2010,Carretera,15/07/2010,N-340a,204,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,1,0,0,0,1,0,0,0,50,No,No n'hi ha,A nivell,Habilitació voral/carril addicional,No n'hi ha,Bon temps,Variant,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Un sol sentit,Atropellament,NA,Carretera,Sec i net,Carretera convencional,Altres,Pla,"Calma, vent molt suau",Feiners,18.49,Tarda,Atropellament,dill-dij
2010,Zona urbana,26/06/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,0,0,0,1,1,0,0,0,100,No,No n'hi ha,A nivell,Altres,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Un sol sentit,Fregament o col·lisió lateral,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,12.1,Matí,Col.lisió de vehicles en marxa,dis
2010,Zona urbana,22/05/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,1,0,0,0,1,0,0,0,100,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Un sol sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,12.1,Matí,Atropellament,dis
2010,Carretera,20/05/2010,A-7,"1161,3",Tarragona,Tarragonès,Tarragona,0,1,0,1,2,0,0,0,1,0,1,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Encalç,NA,Carretera,Sec i net,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",Feiners,10.59,Matí,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,20/02/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,2,1,3,1,0,0,0,0,1,0,0,0,100,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Arribant o eixint intersecció fins 50m,Genérica via,"De nit, il·luminació artificial suficient",Semàfor,Un sol sentit,Xoc contra objecte/obstacle sense sortida prèvia de via,Giratòria,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,22.31,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada,dis
2010,Carretera,29/10/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,0,0,0,1,1,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De nit, il·luminació artificial suficient",NA,Doble sentit,Encalç,NA,Carretera,Sec i net,Altres,Municipal,Rampa o pendent,"Calma, vent molt suau",CapDeSetmana,21.3,Tarda,Col.lisió de vehicles en marxa,div
2010,Carretera,12/11/2010,SE,999999,Tarragona,Tarragonès,Tarragona,0,1,0,1,2,0,0,1,0,1,0,0,0,100,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Genérica via,"De dia, dia clar",NA,Doble sentit,Col·lisió frontal,Intersecció en T o Y,Carretera,Sec i net,Altres,Municipal,Pla,"Calma, vent molt suau",Feiners,10.5,Matí,Col.lisió de vehicles en marxa,div
