(ETRS89)

Via         PK          Velocitat   X           Y           
A-2         445,35      120         288075,4643 4601625,063 
A-2         477,4       120         315966,2147 4611784,9372
A-2         510         120         347348,6149 4613312,8914
A-2         522,046     120         358222,4382 4614165,5302
A-2         524         120         359545,6704 4612865,7882
A-2         534,15      120         368029,975  4609097,778 
A-2         560,25      100         390017,1609 4605387,7454
A-2         570,3       100         398172,1918 4603841,5011
A-2         579,4       100         404844,106  4599075,0531
A-2         597,45      120         416250,5113 4586903,1977
A-2         602,75      100         418212,2371 4581992,9452
A-2         603,2       100         418357,2645 4581610,1835
A-2         608,2       80          420910,1949 4578514,6093
A-2         609,075     80          421572,3917 4577957,0834
A-2         707,467     120         482112,6705 4637914,437 
A-2         501,5-506,5 120         3401992,722 4612186,153 
A-2         506,3-501,5 120         3446117,802 4613692,82  
A-2         539,2-545,1 120         372486,608  4609908,13  
A-2         545,1-539,2 120         377596,997  4607497,09  
A-2         563,2-570,1 80          392583,63   398125,43   
A-26        69,729      100         469350,7325 4673731,6494
A-26        74,64       100         465013,4415 4674490,4635
A-26        82,641      100         459874,5197 4671345,1376
A-7         1159-1163   80          350173,855  4554774,22  
A-7         1163-1159   80          353955,954  4553910,19  
AP-2        154,85      120         314193,063  4597410,03  
AP-2        164,967     120         322646,8217 4594213,2192
AP-2        173,857     120         328363,0936 4588026,5763
AP-7        164         120         415032,9514 4589797,3114
AP-7        294,48      120         316129,9581 4530495,3699
AP-7        308,608     120         306362,5573 4520525,2386
AP-7        337,045     120         287807,9259 4500403,1281
AP-7        146,6-140,6 100         4596258,74  4599775     
AP-7        343-325     120         284584,5034 4495462,6249
B-10        18,5        80          42552972    457695385   
B-10        18,5        80          42552972    457695385   
B-124       4,7         90          424093,9879 4604619,0056
B-140       3,12        90          428677,0563 4598194,5509
B-20        18,1        80          434024,962  4589951,1375
B-20        21,5        100         436932,6446 4591016,7071
B-23        3,35        80          422297,7252 4580901,5425
B-23        4,76        80          420919,5511 4580638,4525
B-23        9,26        100         418247,678  4583414,3171
B-23        11,65       100         417233,273  4585605,8182
BV-1248     4           70          422250,5486 4603772,6483
BV-1433     2,01        70          440709,545  4611377,8301
BV-1435     9,57        90          436049,6741 4609577,8126
